Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Gråsten ,Bendt ,Olesen ,Socialdemokratiet ,1994-2006 
Gudme ,Ejnar ,Freltofte ,Venstre ,1970-1974 
Gudme ,Johannes ,Rosager ,Venstre ,1974-1978 
Gudme ,Hans Jørgen ,Bindzus ,Venstre ,1978-1988 
Gudme ,Erik ,Ullemose ,Venstre ,1988-2001 
Gudme ,Lars Erik ,Hornemann ,Venstre ,2002-2006 
Guldborgsund ,Kaj ,Petersen ,Socialdemokratiet ,2007-2009 
Guldborgsund ,John ,Brædder ,Lokalliste ,2010- 
Gundsø ,Aksel ,Skotte ,Venstre ,1970-1974 
Gundsø ,Aksel ,Pedersen ,Venstre ,1974-1981 
Gundsø ,Eskil ,Nielsen ,Venstre ,1982-1985 
Gundsø ,Arne ,Sloth ,Det Konservative Folkeparti ,1986-1989 
Gundsø ,Erling ,Bjergbakke ,Socialdemokratiet ,1990-1993 
Gundsø ,Jens ,M√ºller ,Det Konservative Folkeparti ,1994-2001 
Gundsø ,Evan ,Lynnerup ,Venstre ,2002-2006 
Gørlev ,Jens Peder ,Pedersen ,Venstre ,1970-1974 
Gørlev ,Vagn ,Weensgaard ,Venstre ,1974-1985 
Gørlev ,Jørgen ,Arnam-Olsen ,Venstre ,1986-1989 
Gørlev ,Kaj ,Haagensen ,Socialdemokratiet ,1990-1993 
Gørlev ,Jørgen ,Arnam-Olsen ,Venstre ,1994-2006 
Haderslev ,Hans Christian ,Carstensen ,Det Konservative Folkeparti ,1970-1981 
Haderslev ,Kurt ,Dørflinger ,Socialdemokratiet ,1982-1989 
Haderslev ,Gunnar ,Nielsen ,Det Konservative Folkeparti ,1990-1993 
Haderslev ,Karen ,From ,Venstre ,1994-2001 
Haderslev ,Jens Christian ,Gjesing ,Socialdemokratiet ,2002-2006 
Haderslev ,Hans Peter ,Geil ,Venstre ,2007-2009 
Haderslev ,Jens Chr. ,Gjesing ,Socialdemokratiet ,2010-2013 
Haderslev ,Hans Peter ,Geil ,Venstre ,2014- 
Hadsten ,Henning ,Nielsen ,Venstre ,1970-1981 
